index,label,color,shape,chimbeom,beonjim,result
1,001_001_1,2,1,3,1,0
2,001_001_100,2,5,2,1,0
3,001_001_101,2,5,2,1,0
4,001_001_102,2,5,2,1,0
5,001_001_103,1,5,2,2,0
6,001_001_104,1,5,1,2,0
7,001_001_105,1,5,1,2,0
8,001_001_106,2,5,2,1,0
9,001_001_107,2,5,2,1,0
10,001_001_108,3,1,2,1,0
11,001_001_109,3,2,2,2,0
12,001_001_110,3,1,2,1,0
13,001_001_112,1,1,3,2,0
14,001_001_113,2,1,1,2,0
15,001_001_114,2,1,1,2,0
16,001_001_115,1,1,3,2,0
17,001_001_116,2,1,3,2,0
18,001_001_117,2,1,1,2,0
19,001_001_118,3,1,3,2,0
20,001_001_119,2,1,2,1,0
21,001_001_120,2,1,2,2,0
22,001_001_121,1,1,3,2,0
23,001_001_123,3,1,3,2,0
24,001_001_124,3,1,3,2,0
25,001_001_183,2,1,1,2,0
26,001_001_184,2,1,1,2,0
27,001_001_2,3,1,3,2,0
28,001_001_218,2,1,1,2,0
29,001_001_240,2,5,2,1,0
30,001_001_241,2,5,2,1,0
31,001_001_242,2,1,1,2,0
32,001_001_257,2,1,1,2,0
33,001_001_258,2,1,1,2,0
34,001_001_259,2,1,1,2,0
35,001_001_260,2,1,1,1,0
36,001_001_296,3,1,2,2,0
37,001_001_297,1,5,1,2,0
38,001_001_298,1,5,2,2,0
39,001_001_300,2,1,1,2,0
40,001_001_8,1,1,1,2,0
41,001_002_41,3,1,2,2,0
42,001_002_42,1,1,1,1,0
43,001_002_44,1,1,2,1,0
44,001_002_45,3,2,2,2,0
45,001_002_46,1,1,1,2,0
46,001_002_48,2,1,1,2,0
47,001_002_81,2,5,1,2,0
48,001_002_84,2,1,1,2,0
49,001_002_86,2,1,1,2,0
50,001_003_28,1,1,1,1,0
51,001_003_29,1,1,2,1,0
52,001_003_30,1,1,2,1,0
53,001_003_31,1,1,2,2,0
54,001_003_34,0,5,1,2,0
55,001_003_48,2,1,1,2,0
56,001_003_49,2,1,1,2,0
57,001_003_51,2,1,1,2,0
58,001_003_53,2,1,1,2,0
59,001_003_55,2,1,1,2,0
60,001_004_1,3,1,3,1,0
61,001_004_10,1,1,1,2,0
62,001_004_11,3,2,2,1,0
63,001_004_110,2,1,1,2,0
64,001_004_111,3,2,2,1,0
65,001_004_112,3,4,2,1,0
66,001_004_113,3,4,2,1,0
67,001_004_114,3,4,2,1,0
68,001_004_115,3,1,1,2,0
69,001_004_116,2,3,1,2,0
70,001_004_117,2,3,1,2,0
71,001_004_12,3,2,2,1,0
72,001_004_13,3,1,2,1,0
73,001_004_14,1,1,2,2,0
74,001_004_15,1,1,2,2,0
75,001_004_16,1,1,2,1,0
76,001_004_17,2,1,3,1,0
77,001_004_18,3,2,1,1,0
78,001_004_19,0,2,1,1,0
79,001_004_2,3,2,2,1,0
80,001_004_20,2,3,1,1,0
